PRD_NAME,PRD_BRAND,INGREDIENT,PRICE,CATEGORY,BAUMANN_ID
에스네이처 아쿠아 오아시스 토너,에스네이처,"""정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 베타인, 판테놀, 알란토인, 파파야열매추출물, 소듐하이알루로네이트 등""",24000 ,토너,24
온그리디언츠 스킨 베리어 카밍 로션,온그리디언츠,"""정제수, 글리세린, 프로판다이올, 카프릴릭/카프릭트라이글리세라이드, 황련뿌리추출물, 병풀추출물, 각종 펩타이드 복합체 등""",33900 ,로션,25
웰라쥬 리얼 히알루로닉 100 토너,웰라쥬,"""하이드롤라이즈드하이알루로닉애씨드(932,601.50052ppm), 글리세린, 프로판다이올, 소듐하이알루로네이트 등 9종 히알루론산 복합체""",28000 ,토너,24
유리아쥬 미셀라 클렌징 폼,유리아주,"""정제수, 온천수, 데실글루코사이드, 글리세린, 소듐코코일글루타메이트, 프로판다이올 등""",21000 ,클렌징,24
유세린 더머토클린 리프레싱 클렌징젤,유세린,"""정제수, 글리세린, 코코-베타인, 코코-글루코사이드, 글리세릴글루코사이드, 소듐하이알루로네이트 등""",28000 ,클렌징,24
유세린 볼륨리프팅 나이트 크림,유세린,"""정제수, 글리세린, 판테놀, 다이카프릴릴에터, 하이드로제네이티드코코-글리세라이즈, 소듐하이알루로네이트 등""",32900 ,크림,25
일리윤 세라마이드 아토 로션,일리윤,"""정제수, 글리세린, 프로판다이올, 하이드로제네이티드쌀겨오일, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 65.5ppm), 세라마이드엔피(4ppm) 등""",18900 ,로션,24
잇츠스킨 시크릿 솔루션 웨딩 드레스 퓨어 크림,잇츠스킨,"""정제수, 글리세린, 다이프로필렌글라이콜, 티타늄디옥사이드, 나이아신아마이드, 알로에베라잎추출물, 녹차추출물, 병풀추출물 등""",12000 ,크림,74
잇츠스킨 파워 10 포뮬라 브이씨 이펙터 잡티케어,잇츠스킨,"""토마토추출물, 정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 소듐아스코빌포스페이트, 아스코빅애씨드 등""",15400 ,앰플,74
제로이드 수딩 로션,제로이드,"""정제수, 글리세린, 프로판다이올, 카프릴릭/카프릭트라이글리세라이드, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이 등""",30000 ,로션,24
제로이드 인텐시브 로션,제로이드,"""정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 올리브오일, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이 등""",25800 ,로션,24
코스알엑스 어드밴스드 비타민C 세럼,코스알엑스,"""정제수, 아스코빅애씨드(23%), 부틸렌글라이콜, 판테놀, 3-O-에틸아스코빅애씨드, 스쿠알란, 나이아신아마이드, 글루타티온 등""",25000 ,앰플,74
키엘 칼렌듈라 허벌 엑스트렉트 토너,키엘,"""정제수, 프로필렌글라이콜, 프로판다이올, 우엉뿌리추출물, 포트마리골드꽃추출물(0.0772%), 포트마리골드꽃(0.075%) 등""",33000 ,토너,37
토리든 다이브인 저분자 히알루론산 토너,토리든,"""정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(100ppm) 등""",21000 ,토너,24
